"run_at","dry_run","candidates_scanned","replication_matches","retraction_matches","replies_posted"
"2026-07-28T18:09:06Z","false","34","0","0","0"
"2026-07-28T20:12:28Z","false","26","0","0","0"
"2026-07-28T22:08:35Z","false","22","0","0","0"
"2026-07-28T23:18:25Z","false","21","0","0","0"
"2026-07-29T00:03:52Z","false","14","0","0","0"
"2026-07-29T04:02:04Z","false","18","0","0","0"
"2026-07-29T06:40:32Z","false","18","0","0","0"
"2026-07-29T09:35:00Z","false","46","0","0","0"
"2026-07-29T11:58:48Z","false","40","0","0","0"
"2026-07-29T14:05:45Z","false","49","0","0","0"
"2026-07-29T16:50:37Z","false","40","0","0","0"
"2026-07-29T18:05:18Z","false","45","0","0","0"
"2026-07-29T20:09:46Z","false","34","0","0","0"
"2026-07-29T21:55:16Z","false","28","0","0","0"
"2026-07-29T22:56:17Z","false","20","0","0","0"
"2026-07-29T23:57:44Z","false","11","0","0","0"
"2026-07-30T02:05:21Z","false","14","0","0","0"
"2026-07-30T05:35:05Z","false","7","0","0","0"
"2026-07-30T08:13:34Z","false","25","0","0","0"
"2026-07-30T11:03:07Z","false","50","0","0","0"
